volatile_acidity,sulphates,citric_acid,alcohol,quality
0.61,0.6,0.02,9.7,6
0.6,0.56,0,10.8,5
0.27,0.53,0.54,12.5,6
0.89,1.18,0.3,10.2,5
0.46,0.74,0.31,9.6,5
0.37,0.81,0.44,10.8,7
0.5,0.52,0.34,10.7,6
0.5,0.52,0.34,10.7,6
0.61,0.51,0.08,9.4,5
0.55,0.44,0.09,10,5
0.585,0.94,0,12.9,7
0.56,0.66,0.08,9.6,6
0.52,0.57,0.22,9.9,6
0.28,0.7,0.4,12.8,7
0.25,0.71,0.39,12.5,7
0.28,0.7,0.4,12.8,7
0.53,0.86,0.12,9.2,5
0.48,0.55,0.31,10.3,6
0.49,0.47,0.1,10.5,5
0.5,0.68,0.55,10.9,6
0.45,0.71,0.33,10.8,5
0.39,0.58,0.24,11.4,4
0.41,0.76,0.54,11.3,6
0.45,0.71,0.33,10.8,5
0.51,0.58,0.19,10.5,6
0.29,0.73,0.42,11.9,6
0.715,0.45,0,9.4,5
0.66,0.54,0.15,9.6,5
0.685,0.6,0,9.7,5
0.42,0.74,0,14,7
0.54,0.64,0.13,9.8,5
0.54,0.64,0.13,9.8,5
0.48,0.53,0.28,10.3,5
0.46,0.49,0.14,10.7,5
0.27,0.64,0.34,11,7
0.46,0.49,0.14,10.7,5
0.57,0.74,0.09,12.7,8
0.61,0.77,0.08,11.1,6
0.685,0.55,0.07,10.9,4
0.61,0.77,0.08,11.1,6
0.44,0.86,0.42,9.9,3
0.47,0.86,0.44,9.9,4
0.685,0.47,0.26,9.4,5
0.665,0.51,0.1,9.3,5
0.28,0.39,0.28,11.7,7
0.28,0.39,0.28,11.7,7
0.31,0.83,0.35,11.2,7
0.5,0.47,0.04,10,5
0.42,0.77,0.47,12.1,7
0.66,0.63,0,10.3,5
0.5,0.72,0.45,10.9,6
0.685,0.62,0.35,9.4,5
0.25,0.83,0.46,10.6,6
0.64,0.66,0.21,9.8,5
0.64,0.66,0.21,9.8,5
0.68,0.7,0.16,9.9,6
0.64,0.66,0.21,9.8,5
0.63,0.66,0.21,9.8,5
0.43,0.55,0.44,9.5,5
0.43,0.55,0.44,9.5,5
0.42,1.07,0.32,9.7,5
0.36,0.73,0.39,10.9,6
0.36,0.73,0.39,10.9,6
0.735,0.71,0.02,11.7,7
0.36,0.73,0.39,10.9,6
0.26,0.78,0.34,11.3,7
0.28,0.67,0.47,10.6,7
0.56,0.82,0.22,11.2,6
0.62,0.54,0.06,9.5,5
1.01,0.6,0.66,11.5,6
0.42,0.44,0.32,10.4,5
0.62,0.53,0.06,9.7,5
0.62,0.54,0.06,9.5,5
0.635,0.54,0.07,9.7,5
0.49,0.83,0.22,11.3,6
0.51,0.84,0.23,11.2,6
0.56,0.82,0.22,11.2,6
0.63,0.64,0.03,10.9,6
0.715,0.57,0.01,11.8,6
0.56,0.57,0.03,10.6,5
0.35,0.54,0.24,10,4
0.21,0.58,0.37,11.1,7
0.38,0.65,0.46,11.8,7
0.31,0.79,0.4,11.8,7
0.47,0.58,0,10.9,4
0.715,0.57,0.01,11.8,6
0.61,0.5,0.19,10,6
0.6,0.55,0.04,9.5,5
0.56,0.49,0.18,9.9,5
0.715,0.65,0,11.4,6
0.31,0.78,0.29,12,6
0.6,0.55,0.04,9.5,5
0.61,0.5,0.19,10,6
0.75,0.64,0.14,10.5,5
0.8,0.65,0.12,10.4,6
0.52,0.79,0.38,12.1,7
0.57,0.56,0,11.2,6
0.9,0.68,0.34,9.3,5
0.34,0.58,0.24,10.1,5
0.66,0.57,0.03,9.7,5
0.45,0.65,0.23,9.3,6
0.66,0.57,0.03,9.7,5
0.63,0.58,0.03,9.8,6
0.59,0.58,0.01,10.7,6
0.31,0.77,0.39,12.5,7
0.59,0.58,0.01,10.7,6
0.31,0.77,0.39,12.5,7
1.02,0.49,0.02,11,3
0.31,0.69,0.36,11.8,5
0.635,0.69,0.1,10.8,7
0.635,0.69,0.1,10.8,7
0.59,0.59,0.06,10.8,7
0.59,0.59,0.06,10.8,7
0.58,0.59,0.2,9.5,5
0.54,0.71,0.27,11,5
0.56,0.54,0,11.5,6
0.52,0.59,0.13,10.8,6
0.305,0.52,0.39,11.5,6
0.38,0.57,0.48,13.2,6
0.28,0.6,0.46,10.9,6
0.46,0.62,0.44,12.2,6
0.395,0.64,0.46,12.2,7
0.305,0.52,0.39,11.5,6
0.315,0.67,0.4,11.9,6
0.715,0.61,0.19,11,5
0.41,0.64,0.31,10.1,6
0.36,0.72,0.32,11,6
0.62,0.89,0.12,11.8,6
0.41,0.56,0.37,10.5,5
0.36,0.72,0.32,11,6
0.62,0.89,0.12,11.8,6
0.41,0.64,0.31,10.1,6
0.47,0.8,0.27,11.2,5
0.22,0.87,0.36,11,7
0.24,0.9,0.33,10.2,6
0.67,0.59,0.19,9.2,4
0.47,0.8,0.27,11.2,5
0.33,0.73,0.38,12,7
0.61,0.73,0.01,10.5,5
0.61,0.65,0.01,9.8,5
0.4,0.59,0.29,9.5,6
0.61,0.65,0.01,9.8,5
0.61,0.73,0.01,10.5,5
0.3,0.72,0.38,11.8,6
0.3,0.72,0.38,11.8,6
0.63,0.6,0.5,10.4,4
0.38,0.72,0.38,12.9,7
0.46,0.54,0.17,11.4,5
0.33,0.76,0.52,12.4,7
0.27,0.52,0.49,12.5,7
0.43,0.64,0.4,10,7
0.5,0.6,0.34,9.7,7
0.3,0.64,0.49,12.1,7
0.44,0.79,0.42,11.1,7
0.44,0.99,0.58,12,7
0.28,0.62,0.48,12.4,7
0.12,0.76,0.45,11.9,7
0.12,0.76,0.45,11.9,7
0.12,0.76,0.45,11.9,7
0.28,0.62,0.48,12.4,7
0.31,0.68,0.4,11.2,7
0.34,0.69,0.48,12.1,7
0.43,0.54,0.4,12.2,6
0.21,0.67,0.52,10.4,5
0.36,0.62,0.52,11.3,6
0.37,0.58,0.52,11.1,6
0.57,0.71,0.12,11.3,7
0.59,0.61,0.05,10,5
0.47,0.85,0.27,11.1,6
0.56,0.62,0.14,9.3,5
0.57,0.69,0.02,9.5,5
0.27,0.69,0.39,11.2,6
0.47,0.85,0.27,11.1,6
0.34,0.86,0.4,11,6
0.38,0.58,0.41,11.9,7
0.66,0.48,0.2,9.2,5
0.4,0.6,0.43,12.2,6
0.56,0.61,0.09,10.2,5
0.26,0.87,0.48,10.9,6
0.26,0.87,0.48,10.9,6
0.38,0.65,0.5,11.6,7
0.34,0.63,0.44,10.7,5
0.33,0.62,0.41,12.1,7
0.41,0.52,0.3,9.4,5
0.41,0.52,0.3,9.4,5
0.59,0.5,0.29,9.1,5
0.4,0.49,0.32,11.3,7
0.45,0.63,0.49,10.4,5
0.5,0.71,0.3,10.5,6
0.86,0.62,0.26,10,5
0.52,0.82,0.32,12.9,6
0.5,0.71,0.3,10.5,6
0.45,0.63,0.49,10.4,5
0.58,0.58,0,11.3,6
0.34,0.55,0.39,11.4,7
0.36,0.5,0.3,9.4,5
0.39,0.49,0.12,9.4,5
0.295,0.51,0.4,10.9,6
0.39,0.49,0.12,9.4,5
0.34,0.48,0.28,9.4,5
0.4,0.48,0.1,9.4,6
0.34,0.48,0.28,9.4,5
0.35,0.43,0.45,9.4,5
0.6,0.62,0.06,10.1,6
0.66,0.63,0,12.8,7
0.66,0.63,0,12.8,7
0.84,0.48,0.34,9.1,6
0.69,0.53,0,12.9,6
0.43,0.72,0.3,11.5,7
0.35,0.82,0.38,10.6,7
0.29,0.84,0.33,11.7,7
0.36,0.55,0.32,12.8,7
0.43,0.54,0.29,10.3,5
0.36,0.55,0.32,12.8,7
0.29,0.84,0.33,11.7,7
0.3,0.84,0.34,11.7,7
0.35,0.7,0.4,12,7
0.5,0.68,0.36,10.9,5
0.28,0.55,0.45,12.3,7
0.32,0.55,0.31,10.4,6
1.005,0.48,0.15,10,5
0.71,0.58,0,10,6
0.58,0.58,0.16,11.2,6
0.39,0.84,0.46,11.4,6
0.38,0.75,0.4,12.6,7
0.18,0.44,0.37,12.7,6
0.18,0.44,0.37,12.7,6
0.5,0.61,0.14,10.4,5
0.36,0.53,0.66,11.9,6
0.36,0.53,0.66,11.9,6
0.51,0.54,0.09,10.5,5
0.32,0.55,0.42,12.3,6
0.58,0.56,0.01,10.5,7
0.83,0.6,0,10.4,6
0.31,0.56,0.32,12.6,6
0.795,0.52,0,11.6,5
0.34,0.54,0.21,10.1,6
0.58,0.56,0.01,10.5,7
0.59,0.55,0,11.5,7
0.55,0.58,0.01,11,7
0.82,0.53,0,9.6,5
0.57,0.59,0.08,10.4,6
0.745,0.47,0.18,9.7,6
0.37,0.65,0.34,10.6,7
0.31,0.59,0.34,12.5,7
0.91,0.56,0.1,9.2,5
0.41,0.77,0.41,12.6,7
0.5,0.83,0.21,11.1,6
0.965,0.67,0,10.2,5
0.49,0.64,0.19,9.8,6
0.5,0.83,0.21,11.1,6
0.39,0.81,0.41,10.9,7
0.39,0.62,0.33,12.2,6
0.44,0.58,0,11.4,6
0.78,0.62,0,10.7,6
0.43,0.64,0.17,10.4,5
0.49,0.78,0.36,10.9,6
0.5,0.77,0.36,10.8,6
0.43,0.64,0.17,10.4,5
0.46,1.34,0.59,9.2,5
0.605,0.55,0.05,12.9,5
0.33,0.77,0.42,12.7,7
0.64,0.62,0.27,9.1,6
0.64,0.62,0.27,9.1,6
0.48,0.59,0.53,12.1,7
0.42,0.57,0.25,9.1,5
0.53,0.76,0.57,11.6,7
0.48,0.59,0.53,12.1,7
0.23,0.7,0.57,9.9,6
0.4,0.69,0.5,12.5,8
0.38,0.64,0.44,11.4,6
0.29,0.63,0.65,11.8,6
0.74,0.57,0.09,11.8,6
0.61,0.6,0.18,10.2,6
0.52,0.72,0.08,12.5,7
0.31,0.83,0.53,10.9,7
0.31,0.83,0.53,10.9,7
0.62,0.62,0.35,10.8,5
0.33,0.89,0.45,11.1,7
0.77,0.58,0.2,9.2,5
0.35,0.58,0.26,9.5,6
0.62,0.58,0.33,10.7,6
0.77,0.58,0.2,9.2,5
0.25,0.86,0.34,10.2,7
0.32,0.73,0.56,11.4,6
0.37,0.58,0.65,11,5
0.37,0.58,0.65,11,5
0.3,0.51,0.68,12.3,7
0.27,0.51,0.56,11.8,6
0.3,0.51,0.68,12.3,7
0.38,0.59,0.3,9.5,6
0.42,0.77,0.45,12,6
0.38,0.59,0.3,9.5,6
0.48,0.49,0.08,9.6,5
0.34,0.66,0.4,11.6,7
0.19,0.69,0.42,11.2,6
0.41,0.76,0.54,9.9,7
0.41,0.76,0.54,9.9,7
0.26,0.63,0.54,11.8,8
0.34,0.6,0.42,11.4,6
0.54,0.59,0.09,11.5,6
0.31,0.86,0.36,12,7
0.725,0.49,0.09,10.8,6
0.4,0.5,0.47,10.5,5
0.725,0.49,0.09,10.8,6
0.52,0.52,0.38,9.4,5
0.31,0.81,0.45,12.5,7
0.52,0.52,0.38,9.4,5
0.34,0.78,0.42,12.4,6
0.49,0.63,0.27,12,6
0.48,0.54,0.09,11.2,6
0.49,0.63,0.27,12,6
0.48,0.66,0.34,12.4,6
0.57,0.6,0.28,12.8,5
0.23,0.54,0.42,12.3,6
0.3,0.85,0.41,11.7,7
0.78,0.49,0.1,9.5,5
0.47,0.76,0.43,10.8,6
0.53,0.64,0,10,6
0.42,0.64,0.27,12.3,7
0.33,0.71,0.41,11,6
0.24,0.59,0.39,9.5,6
0.4,0.66,0.5,13.6,6
0.69,0.6,0.07,11.3,6
0.69,0.6,0.07,11.3,6
0.69,0.6,0.07,11.3,6
0.39,0.53,0.12,13.3,6
0.66,0.58,0,12.9,5
0.54,0.72,0.34,13.1,8
0.5,0.55,0,12.3,6
0.47,0.48,0,12.3,6
0.4,0.65,0.37,11.2,6
0.58,0.62,0,11.5,4
0.24,0.59,0.35,11.3,7
0.29,0.54,0.26,13.5,6
0.76,0.6,0,11.5,6
0.43,0.68,0.33,10,5
0.43,0.69,0.35,10.5,6
0.6,0.63,0,10.4,6
0.19,0.44,0.21,9.5,5
0.36,0.88,0.34,13.6,7
0.48,0.68,0.07,11.2,7
0.28,0.74,0.35,11.8,7
0.25,0.6,0.43,11.9,6
0.52,0.76,0.45,11.4,6
0.52,0.76,0.45,11.4,6
0.41,0.58,0.15,9.1,5
0.51,0.64,0.24,9.5,6
0.4,0.65,0.3,9.5,6
0.38,0.85,0.32,11,6
0.45,0.65,0.11,11.4,6
0.22,0.82,0.3,10,6
0.32,0.62,0.23,10.1,5
0.2,0.81,0.43,10.4,6
0.5,0.87,0.12,9.8,6
0.41,0.49,0.45,11.8,7
0.39,0.66,0.42,11.6,6
0.35,0.52,0.47,12,6
0.33,0.76,0.32,12.8,7
0.58,0.65,0.23,12.5,6
0.6,0.53,0.25,9.8,5
0.42,0.66,0.35,11.1,6
0.58,0.68,0,11.4,6
0.6,0.53,0.25,9.8,5
0.18,0.76,0.51,11.8,7
0.51,0.87,0.18,12.9,7
0.41,1.16,0.43,10.6,6
0.41,0.67,0.43,10.8,5
0.36,0.72,0.57,11.1,7
0.45,0.75,0.43,10.2,6
0.32,0.71,0.42,11.8,7
0.785,0.67,0.24,10,5
0.785,0.67,0.24,10,5
0.44,1.1,0.5,9.4,5
0.54,0.98,0.26,10.2,5
0.33,0.88,0.39,12.4,7
0.34,0.56,0.27,12,6
0.5,0.62,0.29,11.5,6
0.36,0.67,0.34,10.5,6
0.59,0.68,0,10.8,6
0.42,0.74,0.46,12.3,6
0.36,0.62,0.31,9.5,6
0.36,0.62,0.31,9.5,6
0.61,0.7,0,11.5,6
0.88,0.5,0.03,11.2,4
0.66,0.66,0,12.7,7
0.915,0.73,0,11.4,5
0.35,0.81,0.33,11,6
0.35,0.81,0.33,11,6
0.39,0.46,0.43,11.4,5
0.4,0.86,0.4,10.5,6
0.66,0.6,0.07,9.3,5
0.64,0.7,0.23,10.9,5
0.43,0.46,0.3,11.9,6
0.8,0.5,0.03,12.2,5
0.43,0.46,0.3,11.9,6
0.64,0.7,0.23,10.9,5
0.955,0.44,0.05,9.6,4
0.4,0.57,0.57,12.5,6
0.885,0.51,0,10.8,5
0.25,0.8,0.37,12.4,7
0.885,0.51,0,10.8,5
0.745,0.59,0.12,9.5,6
0.43,0.6,0.22,9.5,6
0.58,0.58,0.23,9.5,6
0.57,0.54,0.21,9.8,6
0.26,0.79,0.26,10.9,6
0.58,0.58,0.23,9.5,6
0.57,0.54,0.21,9.8,6
0.34,0.54,0.36,11.2,7
0.42,0.69,0.39,11.7,8
0.74,0.55,0.19,9.4,5
0.36,0.85,0.46,11,7
0.36,0.85,0.46,11,7
0.36,0.85,0.46,11,7
0.72,0.94,0.55,10,5
0.36,0.85,0.46,11,7
0.39,0.87,0.43,11.2,7
0.65,0.62,0.02,10.4,6
0.44,0.62,0.15,9.3,5
0.65,0.62,0.02,10.4,6
0.38,0.75,0.42,10.5,6
0.33,0.48,0.46,10.4,6
0.27,0.56,0.46,11.3,6
0.57,0.69,0.31,9.5,6
0.34,0.81,0.37,12,6
0.4,0.69,0.31,10.6,6
0.39,0.83,0.4,10.9,6
0.32,0.77,0.52,11.5,6
0.32,0.77,0.52,11.5,6
0.53,0.46,0.22,9.6,6
0.36,0.76,0.47,12,6
0.39,0.82,0.49,10.3,6
0.46,0.51,0.23,9.4,5
0.58,0.47,0.03,9.2,5
0.58,0.72,0.25,9.6,5
0.42,0.73,0,13.6,7
0.43,0.64,0.29,9.5,5
0.18,0.78,0.34,11.8,6
0.815,0.62,0.01,10.8,5
0.43,0.64,0.29,9.5,5
0.23,0.49,0.37,9.3,4
0.75,0.4,0.01,12.8,6
0.33,0.56,0.32,11.5,4
0.55,0.64,0,9.4,6
0.75,0.4,0.01,12.8,6
0.73,0.46,0,9.6,4
0.67,0.56,0,11.8,4
0.61,0.4,0.2,9.3,5
0.37,0.59,0.39,9.8,5
0.4,0.6,0.41,12.2,6
0.56,0.62,0.22,9.5,5
0.29,0.54,0.25,10.3,6
0.55,0.68,0.19,10.5,5
0.74,0.48,0.07,10,5
0.55,0.68,0.19,10.5,5
0.41,0.75,0.33,11.1,6
0.6,0.61,0.01,10.9,6
0.6,0.61,0.01,10.9,6
0.58,0.59,0.14,9.8,5
0.72,0.58,0,9.8,5
0.66,0.58,0,9.5,5
0.7,0.69,0.06,10.9,5
0.64,0.45,0.02,11,5
0.59,0.42,0.22,9.2,5
0.58,0.7,0.28,11,6
0.64,0.63,0,11.3,6
0.64,0.63,0,11.3,6
0.635,1.15,0.68,9.3,5
1.02,0.55,0,11.2,4
0.45,0.58,0.38,9.8,5
0.78,0.46,0,9.6,4
0.37,0.72,0.32,11.8,6
0.57,0.6,0.05,10.3,6
0.57,0.6,0.05,10.3,6
0.43,0.87,0.5,11.4,6
0.41,0.55,0.31,9.5,6
0.49,0.82,0.03,14,8
0.38,0.75,0.01,14,6
0.44,0.57,0.2,11.7,6
0.46,0.53,0,11.2,5
0.58,0.43,0.2,9.3,5
0.58,0.53,0.13,11.2,6
0.715,0.54,0.22,9.5,6
0.4,0.56,0.4,12,4
0.69,0.6,0,9.7,6
0.715,0.54,0.22,9.5,6
0.3,0.57,0.39,11.5,7
0.46,0.64,0.2,10.4,6
0.46,0.64,0.2,10.4,6
0.765,0.68,0,10.9,6
0.63,0.63,0.28,10.2,6
0.42,0.56,0.19,10.9,5
0.37,0.57,0.5,10.5,5
0.16,0.54,0.44,12.4,6
0.6,0.37,0.08,13,5
0.6,1.17,0.3,10.2,5
0.6,1.17,0.3,10.2,5
0.74,0.59,0,11,5
0.635,0.75,0.1,10.9,6
0.395,0.67,0.13,12.4,6
0.755,0.49,0,9.7,4
0.635,0.75,0.1,10.9,6
0.63,0.45,0,9.5,5
0.63,0.45,0,9.5,5
0.53,0.61,0.14,12.1,6
0.6,0.56,0,12.2,6
1.58,0.4,0,10.9,3
0.645,0.61,0,12.5,6
0.86,0.74,0.07,11.7,6
0.37,0.8,0.32,11.2,6
0.28,0.66,0.44,11.2,5
0.79,0.44,0.21,9.2,5
0.61,0.53,0.26,9.8,5
0.69,0.62,0.32,10.1,5
0.68,0.52,0.09,11.1,4
0.69,0.62,0.32,10.1,5
0.62,0.61,0.1,9.2,5
0.61,0.53,0.26,9.8,5
0.51,0.59,0.15,12.8,6
1.18,0.47,0.21,10.5,5
0.36,0.54,0.21,10.1,6
0.36,0.53,0.21,10.1,6
0.63,0.58,0.27,9.8,6
0.74,0.59,0,12.5,6
0.44,0.69,0.46,11.9,6
0.63,0.58,0.27,9.8,6
0.76,1.33,0.68,9.1,6
0.66,0.66,0.34,10.1,5
0.74,0.59,0,12.5,6
0.34,0.55,0.42,11.4,5
0.36,0.82,0.39,11,7
0.46,0.6,0.24,10.6,6
0.46,0.6,0.24,10.6,6
0.46,0.6,0.24,10.6,6
0.46,0.6,0.24,10.6,6
0.52,0.52,0.11,9.3,5
0.6,0.56,0.26,9.8,6
0.6,0.56,0.26,9.8,6
0.87,0.46,0.26,9.2,5
0.39,0.43,0.1,9.7,6
0.775,0.51,0.22,9.6,5
0.835,0.52,0,10,5
0.58,0.66,0.02,12.6,6
0.5,0.45,0,9.5,5
0.5,0.45,0,9.5,5
0.5,0.45,0,9.5,5
0.51,0.54,0.02,10.5,6
0.51,0.54,0.02,10.5,6
0.51,0.54,0.02,10.5,6
0.54,0.51,0.02,10.4,6
0.51,0.54,0.02,10.5,6
0.42,0.53,0.48,11,5
0.44,0.53,0.24,10.2,6
0.59,0.56,0.01,11.4,5
0.655,0.39,0.03,9.5,5
0.655,0.39,0.03,9.5,5
0.57,0.52,0,10.8,5
0.6,0.57,0.29,10,5
0.62,0.51,0.01,11.8,6
0.645,0.46,0.03,10.3,5
0.645,0.46,0.03,10.3,5
0.58,0.52,0.03,10,5
0.32,0.44,0.25,10.1,5
0.34,0.44,0.25,10.1,5
0.43,0.59,0.24,11.1,6
0.64,0.5,0.17,9.5,5
0.475,0.65,0.4,10.03333333,6
0.54,0.56,0.31,10.9,5
0.85,0.54,0.14,10.1,5
0.475,0.65,0.4,10.03333333,6
0.83,0.48,0.27,9.8,4
0.605,0.53,0.02,11.8,6
0.5,0.62,0.09,9.5,5
0.74,0.5,0.08,9.8,5
0.54,1.18,0.3,10.5,6
0.77,0.5,0.32,9.8,6
0.61,0.37,0,10.4,4
0.78,1.17,0.51,9.2,5
0.58,1.03,0.56,11.6,6
0.78,1.17,0.51,9.2,5
0.75,0.45,0.27,9.3,5
0.815,0.51,0,9.8,3
0.56,0.52,0.26,9.9,5
0.885,0.46,0.2,10,5
0.49,0.62,0.26,12.2,6
0.45,0.51,0.15,9.9,6
0.57,0.62,0.02,10.8,6
0.57,0.62,0.02,10.8,6
0.83,0.45,0.09,9.6,5
0.6,0.49,0.22,9.9,5
0.6,0.49,0.22,9.9,5
0.755,0.5,0.15,9.5,5
0.81,0.42,0.25,9.2,5
0.64,0.58,0.07,9.6,5
0.64,0.58,0.07,9.6,5
0.64,0.68,0.31,10.3,5
0.48,0.53,0.02,9.7,5
0.49,0.59,0,12.5,6
0.64,0.58,0.22,11,5
0.62,0.48,0.06,9.8,5
0.52,0.48,0.25,10.2,5
0.57,0.48,0.14,9.2,5
0.685,0.65,0.1,9.55,6
0.675,0.65,0.1,9.55,5
0.59,0.52,0.26,9.9,5
0.6,0.62,0.12,10.2,7
0.67,0.72,0,11.1,6
0.69,0.51,0.21,9.9,5
0.69,0.51,0.21,9.9,5
0.3,0.82,0.42,11.9,6
0.33,1.1,0.33,10,8
0.5,0.62,0.39,10.7,6
0.28,0.9,0.3,11.3,7
0.24,0.94,0.34,10.9,6
0.51,0.93,0,10.7,6
0.29,1.01,0.36,12.4,7
0.51,0.93,0,10.7,6
0.96,0.44,0,11.9,6
0.47,0.73,0.4,10.6,6
0.24,0.94,0.34,10.9,6
0.57,0.9,0.25,10.1,5
0.32,0.78,0.59,9.6,5
0.58,0.84,0,9.4,5
0.32,0.78,0.59,9.6,5
0.34,0.77,0.33,12.1,7
0.53,0.46,0.01,9.8,5
0.64,0.45,0.21,9.9,5
0.53,0.46,0.01,9.8,5
0.4,0.58,0.18,9.4,5
0.54,0.84,0,11.4,6
0.53,0.67,0.09,11,4
0.26,0.7,0.37,9.6,6
0.26,0.7,0.37,9.6,6
0.23,0.71,0.37,12.1,6
0.41,0.58,0.33,11.2,5
0.64,0.63,0,11,5
0.18,0.93,0.4,11.3,5
0.41,0.62,0.24,10.4,5
0.43,0.54,0.31,9.9,6
0.44,0.85,0,11.7,6
0.4,0.74,0.16,10.1,7
0.54,0.77,0.37,9,6
0.54,0.77,0.37,9,6
0.38,0.65,0.38,8.5,5
0.915,0.54,0.29,11.1,5
0.59,0.47,0,10.3,5
0.67,0.68,0.02,11.06666667,6
0.37,0.73,0.32,11.3,7
0.785,0.52,0.19,9.566666667,6
0.63,0.75,0.02,9.8,5
0.58,0.49,0.2,11.7,5
0.67,0.68,0.02,11.1,6
0.785,0.52,0.19,9.6,6
0.63,0.75,0.02,9.8,5
0.67,0.74,0,9.7,5
0.58,0.73,0.01,9.7,5
0.38,0.76,0.31,11.3,8
0.37,0.73,0.32,11.3,7
0.32,0.78,0.44,11,7
0.58,0.76,0.02,11.6,7
0.49,0.58,0.33,9,5
0.45,0.69,0.63,10.9,6
0.9,0.63,0,10.9,6
0.54,0.5,0.06,10.55,6
0.49,0.58,0.33,9,5
0.29,0.6,0.4,10.5,5
0.2,0.8,0.35,11.9,7
0.42,0.68,0.09,10.4,6
0.785,0.61,0,10,4
0.64,0.58,0.03,10.4,6
0.63,0.53,0.01,10.8,6
0.59,0.67,0.1,9.7,5
0.59,0.67,0.1,9.7,5
0.48,0.65,0.32,10,7
1.04,0.57,0.08,11,4
0.48,0.65,0.32,10,7
0.98,0.55,0.05,9.7,3
0.69,0.47,0.11,9.7,5
0.7,0.52,0.08,12.6,5
0.35,0.79,0.6,11.1,6
0.6,0.54,0.08,11,5
0.5,0.75,0.5,8.8,5
0.47,0.88,0.11,13.56666667,7
0.5,0.75,0.5,8.8,5
0.47,0.88,0.11,13.6,7
0.875,0.52,0.05,10.2,3
0.28,0.68,0.6,10.6,5
0.62,0.62,0.03,10.1,4
0.28,0.68,0.6,10.6,5
0.58,0.57,0.54,10.3,4
0.33,0.61,0.44,10.7,5
0.91,0.64,0.06,10.9,4
0.655,0.55,0.16,9.7,5
0.68,0.6,0.21,10.3,5
0.64,0.78,0.05,10.6,5
0.54,0.58,0.04,11.4,5
0.57,0.76,0.1,10.8,6
0.22,0.56,0.49,12.4,6
0.54,0.58,0.04,11.4,5
0.65,0.54,0.06,11.95,5
0.54,0.59,0.26,9.7,5
0.31,0.7,0.09,10,7
0.43,0.81,0.02,10.6,6
0.54,0.59,0.26,9.7,5
0.74,0.63,0.03,11.5,6
0.895,0.58,0.04,10.8,6
0.74,0.63,0.03,11.5,6
0.725,0.53,0.04,9.6,5
0.82,0.53,0.29,9.4,5
0.585,0.54,0.18,9.8,5
0.44,0.69,0.39,11,6
0.38,0.55,0.57,11.4,6
0.76,0.63,0.02,9.95,3
0.81,0.66,0.05,10.8,6
0.38,0.55,0.57,11.4,6
0.27,0.72,0.6,10.6,6
0.18,0.7,0.4,11.1,5
0.36,0.77,0.21,9.7,6
0.69,0.67,0.04,9.8,5
0.79,0.65,0.04,10.4,6
0.56,0.6,0.15,10.5,6
0.84,0.72,0.21,9.233333333,6
0.84,0.72,0.21,9.25,6
0.32,0.97,0.25,10.6,5
0.53,0.83,0.06,10.3,6
0.47,0.63,0.46,10.5,5
0.7,0.58,0.08,10.2,5
0.53,0.83,0.06,10.3,6
0.48,0.43,0.2,9.05,4
0.32,0.97,0.25,10.6,5
0.48,0.6,0.25,10.4,5
0.42,0.78,0.19,10,6
0.48,0.64,0.08,9.7,5
0.47,0.65,0.08,9.6,6
0.53,0.66,0.07,10.8,6
0.29,0.67,0.49,10.1,6
0.69,0.6,0.08,10.2,6
0.44,0.69,0.09,11.3,6
0.705,0.66,0.1,10.2,5
0.53,0.68,0.13,9.9,6
0.39,0.61,0.3,9,5
0.56,0.62,0.14,11.7,7
0.55,0.59,0.13,9.7,6
0.53,0.68,0.08,10.3,6
0.58,0.64,0.08,10.2,6
0.64,0.63,0.09,12,5
0.39,0.78,0.32,9.9,5
0.52,0.63,0.08,11.6,6
0.25,0.76,0.29,10.9,7
0.855,0.56,0.02,10.75,6
0.44,0.57,0.42,10.4,6
0.37,0.81,0.43,11.2,7
0.63,0.64,0.33,10.1,6
0.57,0.61,0.02,10.2,5
0.6,0.51,0.1,12.1,5
0.4,0.58,0.5,10.4,5
0.36,0.7,0.3,11.4,8
0.68,0.53,0,9.5,5
0.67,0.54,0,9.4,5
0.68,0.66,0.01,11.3,6
0.735,0.6,0,9.4,5
0.855,0.6,0.02,11,6
0.56,0.68,0.17,10.55,7
0.88,0.56,0.04,9.9,5
0.855,0.6,0.02,11,6
0.63,0.56,0.33,9.5,5
0.6,0.52,0.26,9.9,5
0.6,0.52,0.26,9.9,5
0.6,0.52,0.26,9.9,5
0.695,0.54,0.13,10.1,5
0.695,0.54,0.13,10.1,5
0.695,0.54,0.13,10.1,5
0.67,0.82,0.02,10.9,6
0.16,0.71,0.64,11.2,6
0.695,0.54,0.13,10.1,5
0.56,0.59,0.13,9.2,5
0.51,0.57,0.14,11.5,6
0.36,0.93,0.53,12.4,6
0.38,0.65,0.14,11.1,6
0.69,0.51,0.32,9.5,5
0.58,0.67,0.2,12.5,6
0.31,0.48,0.78,10.5,6
0.52,0.64,0.4,11.8,6
0.3,0.78,0.63,10.8,6
0.7,0.6,0.15,11.9,6
0.67,0.67,0.15,11.3,6
0.56,0.6,0.09,11.3,5
0.35,0.6,0.33,11.9,6
0.56,0.6,0.09,11.3,5
0.715,0.5,0.1,11.9,5
0.46,0.62,0.29,9.8,5
0.32,0.8,0.44,11.6,7
